"USD #","District","County","Year","Students (FTE)","Classroom Teachers (CT)","Other Teachers","Managers","Other Non-Teachers","Total Employed","FTE Per CT","FTE Per Mgr"
"999","*State of Kansas","All","2021","462543.2","30796.40029","4780.500008","4550","31731.2","71858.1003","15.01939174","101.6578462"
"259","Wichita","Sedgwick","2021","45302.1","2871.400097","630.2999878","358.7999998","2685.6","6546.100085","15.7770072","126.2600335"
"233","Olathe","Johnson","2021","28427.8","1871.400024","386.6000061","212.0999992","1723.9","4194.00003","15.1906592","134.0301749"
"512","Shawnee Mission","Johnson","2021","25688.2","1530.300026","289.9000244","147","1470.899999","3438.10005","16.78638147","174.7496599"
"229","Blue Valley","Johnson","2021","21784.2","1315.000095","296.3999882","191.3","1099.300001","2902.000085","16.56593036","113.8745426"
"500","Kansas City","Wyandotte","2021","21039.1","1569","237","151","1832","3789","13.40924156","139.3317881"
"501","Topeka","Shawnee","2021","12112.4","804.3000488","244.7000122","143.7000004","927.5999994","2120.300061","15.05955398","84.28949177"
"497","Lawrence","Douglas","2021","11205.7","690.1999626","191.799994","77","717.7000019","1676.699959","16.23543988","145.5285714"
"266","Maize","Sedgwick","2021","7509.6","430.099988","5","50.7","294.4999996","780.2999876","17.46012604","148.1183432"
"475","Geary County","Geary","2021","7202.1","469.0000114","104.4999971","51.8","503.300001","1128.60001","15.3562896","139.0366795"
"457","Garden City","Finney","2021","7023","423","101.3000031","51.5","516.9999996","1092.800003","16.60283688","136.368932"
"232","De Soto","Johnson","2021","6934.9","418.7000122","68.70000076","51","337.6999987","876.1000116","16.5629324","135.9784314"
"260","Derby","Sedgwick","2021","6844","369.8999996","104","44.3","424","942.1999996","18.50229794","154.4920993"
"443","Dodge City","Ford","2021","6815.5","413.5","2","62.69999981","417.3000002","895.5","16.48246675","108.7001598"
"305","Salina","Saline","2021","6723.1","443.1000061","154","56","935.4999977","1588.600004","15.17287273","120.0553571"
"383","Manhattan-Ogden","Riley","2021","6530.9","413.4999866","109.5","54","533.3","1110.299987","15.7941964","120.9425926"
"385","Andover","Butler","2021","6425.9","328.1000061","11","30","205.8999999","575.000006","19.58518708","214.1966667"
"437","Auburn Washburn","Shawnee","2021","5917.1","360.7000122","79.69999695","47","419.4","906.8000092","16.40449071","125.8957447"
"265","Goddard","Sedgwick","2021","5883.4","316","5","39","375.3","735.3","18.61835443","150.8564103"
"230","Spring Hill","Johnson","2021","5731.4","204.5","39","34","214.1000001","491.6000001","28.02640587","168.5705882"
"231","Gardner Edgerton","Johnson","2021","5681.6","386","72.60000038","40","332.300001","830.9000014","14.71917098","142.04"
"261","Haysville","Sedgwick","2021","5548.6","315","58","43.9000001","434.5","851.4000001","17.61460317","126.3917993"
"480","Liberal","Seward","2021","4525.9","289","27","42","434","792","15.66055363","107.7595238"
"253","Emporia","Lyon","2021","4179","306.1999969","79","52.9","385.5999998","823.6999968","13.64794266","78.99810964"
"308","Hutchinson","Reno","2021","4059.9","286","56.69999695","46.90000057","452.9000001","842.4999976","14.19545455","86.56503093"
"202","Turner-Kansas City","Wyandotte","2021","3758","239","39","34","223.8999999","535.8999999","15.72384937","110.5294118"
"345","Seaman","Shawnee","2021","3742.4","233.6000023","49.5","31","251.2000001","565.3000024","16.02054779","120.7225806"
"450","Shawnee Heights","Shawnee","2021","3522.3","189","42.59999847","28.9","212.4","472.8999985","18.63650794","121.8788927"
"453","Leavenworth","Leavenworth","2021","3519.7","212","51","45","259","567","16.60235849","78.21555556"
"250","Pittsburg","Crawford","2021","3170.7","167.5","27.5","23.5","178","396.5","18.92955224","134.9234043"
"489","Hays","Ellis","2021","3129.9","174.0999937","52.80000305","25","297.0000004","548.8999971","17.97759973","125.196"
"373","Newton","Harvey","2021","3110.2","214.1999969","72.40000153","34","290.5000002","611.0999987","14.5200749","91.47647059"
"262","Valley Center","Sedgwick","2021","2997.5","175.4000063","7.799999952","21.3","130.4999998","335.000006","17.08950908","140.7276995"
"428","Great Bend","Barton","2021","2822.9","166","46.5","21","279.6000002","513.1000002","17.00542169","134.4238095"
