"Year","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Minimum Total","Maximum Total"
"2002","583","685","668","691","712","739","784","803","775","6440","6458"
"2003","625","623","693","668","680","687","720","766","801","6263","6290"
"2004","688","659","637","725","684","706","699","774","790","6362","6371"
"2005","647","738","666","637","748","714","699","745","772","6366","6375"
"2006","767","705","774","689","652","788","753","752","775","6655","6664"
"2007","743","843","744","786","715","706","796","795","769","6897","6906"
"2008","811","803","876","773","841","752","737","809","824","7226","7226"
"2009","845","893","866","931","819","874","795","853","876","7752","7761"
"2010","819","909","909","887","933","845","893","873","846","7914","7932"
"2011","885","831","890","908","885","927","849","937","897","8009","8018"
"2012","902","954","866","900","918","877","974","886","943","8220","8229"
"2013","924","927","926","864","897","909","863","1027","915","8252","8252"
"2014","849","940","901","917","853","873","919","876","1004","8132","8141"
"2015","903","859","897","915","926","834","895","944","900","8073","8082"
"2016","812","898","837","898","909","913","810","890","928","7895","7913"
"2017","830","805","886","816","886","896","898","827","923","7767","7803"
"2018","841","864","824","887","825","918","869","915","873","7816","7861"
"2019","755","828","841","812","860","818","891","903","933","7641","7722"
"2020","709","738","801","849","799","848","783","917","882","7326","7452"
"2021","734","723","721","779","820","769","831","787","905","7069","7204"
